Ticker,Status,Rows,Message
PKPK,OK,8,
PLAN,OK,8,
PLAS,NO_DATA,0,
PLIN,OK,9,
PMJS,OK,8,
PMMP,OK,9,
PMUI,OK,8,
PNBN,OK,8,
PNBS,OK,8,
PNGO,OK,8,
PNIN,OK,8,
PNLF,OK,8,
PNSE,OK,8,
POLA,OK,8,
POLI,OK,8,
POLL,OK,9,
POLU,OK,8,
POLY,OK,9,
POOL,NO_DATA,0,
PORT,OK,8,
POSA,NO_DATA,0,
POWR,OK,8,
PPGL,OK,8,
PPRE,OK,8,
PPRI,OK,8,
PPRO,OK,8,
PRAS,NO_DATA,0,
PRAY,OK,8,
PRDA,OK,8,
PRDL,OK,8,
PRIM,OK,8,
PSAB,OK,8,
PSAT,OK,8,
PSDN,OK,8,
PSGO,OK,8,
PSKT,OK,8,
PSSI,OK,8,
PTBA,OK,8,
PTDU,OK,9,
PTIS,OK,8,
PTMP,OK,8,
PTMR,OK,9,
PTPP,OK,8,
PTPS,OK,8,
PTPW,OK,8,
PTRA,NO_DATA,0,
PTRO,OK,8,
PTSN,OK,8,
PTSP,OK,8,
PUDP,OK,8,
PURA,OK,8,
PURE,NO_DATA,0,
PURI,OK,8,
PWON,OK,8,
PYFA,OK,8,
PZZA,OK,8,
RAAM,OK,8,
RAFI,OK,9,
RAJA,OK,8,
RALS,OK,8,
RANC,OK,8,
RANS,OK,8,
RATU,OK,8,
RBMS,OK,8,
RCCC,OK,8,
RDTX,OK,9,
REAL,OK,8,
RELF,OK,8,
RELI,OK,8,
RGAS,OK,8,
RICY,OK,8,
RIGS,OK,8,
RIMO,NO_DATA,0,
RISE,OK,8,
RLCO,OK,8,
RMKE,OK,8,
RMKO,OK,8,
ROCK,OK,8,
RODA,OK,8,
RONY,OK,8,
ROTI,OK,8,
RSCH,OK,8,
RSGK,OK,8,
RUIS,OK,8,
RUNS,OK,8,
RYAN,NO_DATA,0,
SAFE,OK,8,
SAGE,OK,8,
SAME,OK,8,
SAMF,OK,8,
SAPX,OK,8,
SATU,OK,8,
SBAT,OK,9,
SBMA,OK,8,
SCCO,OK,8,
SCMA,OK,8,
SCNP,OK,8,
SCPI,NO_DATA,0,
SDMU,OK,8,
SDPC,OK,8,
SDRA,OK,8,
SEMA,OK,8,
SFAN,OK,8,
SGER,OK,8,
SGRO,OK,8,
SHID,OK,8,
SHIP,OK,8,
SIAP,NO_DATA,0,
SICO,OK,8,
SIDO,OK,8,
SILO,OK,8,
SIMA,NO_DATA,0,
SIMP,OK,8,
SING,NO_DATA,0,
SINI,OK,8,
SIPD,OK,8,
SKBM,OK,8,
SKLT,OK,8,
SKRN,OK,8,
SKYB,NO_DATA,0,
SLIS,OK,8,
SMAR,OK,8,
SMBR,OK,8,
SMCB,OK,9,
SMDM,OK,8,
SMDR,OK,8,
SMGA,OK,8,
SMGR,OK,8,
SMIL,OK,8,
SMKL,OK,8,
SMKM,OK,8,
SMLE,OK,8,
SMMA,OK,8,
SMMT,OK,8,
SMRA,OK,8,
SMRU,NO_DATA,0,
SMSM,OK,8,
SNLK,OK,8,
SOCI,OK,8,
SOFA,OK,8,
SOHO,OK,8,
SOLA,OK,8,
SONA,OK,8,
SOSS,OK,9,
SOTS,OK,8,
SOUL,OK,9,
SPMA,OK,8,
SPRE,OK,8,
SPTO,OK,8,
SQBB,NO_DATA,0,
SQBI,NO_DATA,0,
SQMI,OK,8,
SRAJ,OK,8,
SRIL,NO_DATA,0,
SRSN,OK,8,
SRTG,OK,8,
SSIA,OK,8,
SSMS,OK,8,
SSTM,OK,8,
STAA,OK,8,
STAR,OK,8,
STRK,OK,8,
STTP,OK,8,
SUDI,NO_DATA,0,
SUGI,NO_DATA,0,
SULI,OK,8,
SUNI,OK,8,
SUPA,OK,8,
SUPR,OK,9,
SURE,OK,8,
SURI,OK,8,
SWAT,OK,9,
SWID,OK,8,
TALF,OK,8,
TAMA,OK,8,
TAMU,OK,8,
TAPG,OK,8,
TARA,OK,8,
TAXI,OK,8,
TAYS,OK,9,
TBIG,OK,8,
TBLA,OK,8,
TBMS,OK,8,
TCID,OK,8,
TCPI,OK,8,
TDPM,NO_DATA,0,
TEBE,OK,8,
TECH,NO_DATA,0,
TELE,OK,9,
TFAS,OK,8,
TFCO,OK,8,
TGKA,OK,8,
TGRA,OK,9,
TGUK,OK,8,
TIFA,OK,8,
TINS,OK,8,
TIRA,OK,8,
TIRT,OK,9,
TKIM,OK,8,
TLDN,OK,8,
TLKM,OK,8,
TMAS,OK,8,
TMPI,NO_DATA,0,
TMPO,OK,8,
TNCA,OK,8,
TOBA,OK,8,
TOOL,OK,8,
TOPS,OK,9,
TOSK,OK,8,
TOTL,OK,8,
TOTO,OK,8,
TOWR,OK,8,
TOYS,OK,9,
TPIA,OK,8,
TPMA,OK,8,
TRAM,NO_DATA,0,
TRGU,OK,8,
TRIL,NO_DATA,0,
TRIM,OK,8,
TRIN,OK,8,
TRIO,NO_DATA,0,
TRIS,OK,8,
TRJA,OK,8,
TRON,OK,8,
TRST,OK,8,
TRUB,NO_DATA,0,
TRUE,OK,9,
TRUK,OK,8,
TRUS,OK,8,
TSPC,OK,8,
TUGU,OK,8,
TYRE,OK,8,
UANG,OK,8,
UCID,OK,8,
UDNG,OK,8,
UFOE,OK,8,
ULTJ,OK,8,
UNIC,OK,8,
UNIQ,OK,8,
UNIT,NO_DATA,0,
UNSP,OK,9,
UNTD,OK,8,
UNTR,OK,8,
UNVR,OK,8,
URBN,OK,8,
UVCR,OK,8,
VAST,OK,8,
VERN,OK,8,
VICI,OK,8,
VICO,OK,8,
VINS,OK,8,
VISI,OK,8,
VIVA,OK,8,
VKTR,OK,8,
VOKS,OK,8,
VRNA,OK,8,
VTNY,OK,8,
WAPO,OK,8,
WBSA,OK,8,
WEGE,OK,8,
WEHA,OK,8,
WGSH,OK,8,
WICO,OK,9,
WIDI,OK,8,
WIFI,OK,8,
WIIM,OK,8,
WIKA,OK,9,
WINE,OK,8,
WINR,OK,8,
WINS,OK,8,
WIRG,OK,8,
WMPP,OK,8,
WMUU,OK,8,
WOMF,OK,8,
WOOD,OK,8,
WOWS,OK,8,
WSBP,OK,9,
WSKT,NO_DATA,0,
WTON,OK,8,
YELO,OK,8,
YOII,OK,8,
YPAS,OK,8,
YULE,OK,8,
YUPI,OK,8,
ZATA,OK,8,
ZBRA,OK,9,
ZINC,OK,9,
ZONE,OK,8,
ZYRX,OK,8,
